,BILLED_DATE,ID,SERVICE_type,Unique ID check,NET_AMOUNT,INVOICESTATUS,COLLECTED,APPROVEDDATE,Service Name
0,01-07-2020 10:06,1,Test Service - 31,,0,Settled,01-07-2020 10:06,01-07-2020 10:06,Location 8
1,01-07-2020 10:45,2,Test Service - 31,,0,Settled,01-07-2020 10:45,01-07-2020 10:45,Location 8
2,01-07-2020 10:54,3,Test Service - 31,,800,Settled,01-07-2020 10:54,01-07-2020 10:54,Location 9
3,01-07-2020 10:59,4,Test Service - 31,,800,Settled,01-07-2020 10:59,01-07-2020 10:59,Location 8
4,01-07-2020 11:10,5,Test Service - 31,,720,Settled,01-07-2020 11:10,01-07-2020 11:10,Location 9
5,01-07-2020 11:21,6,Test Service - 31,,720,Settled,01-07-2020 11:21,01-07-2020 11:21,Location 9
6,01-07-2020 11:41,7,Test Service - 31,,800,Settled,01-07-2020 11:41,01-07-2020 11:41,Location 8
7,01-07-2020 12:12,8,Test Service - 31,,720,Settled,01-07-2020 12:12,01-07-2020 12:12,Location 9
8,01-07-2020 12:24,9,Test Service - 31,,0,Settled,01-07-2020 12:24,01-07-2020 12:24,Location 9
9,01-07-2020 12:41,10,Test Service - 32,,800,Settled,01-07-2020 12:41,01-07-2020 12:41,Location 13
10,01-07-2020 13:20,11,Test Service - 33,,1200,Settled,01-07-2020 13:20,01-07-2020 13:20,Location 11
11,01-07-2020 13:26,12,Test Service - 33,,1000,Settled,01-07-2020 13:26,01-07-2020 13:26,Location 15
12,01-07-2020 13:31,13,Test Service - 33,,1200,Settled,01-07-2020 13:31,01-07-2020 13:31,Location 11
13,01-07-2020 13:42,14,Test Service - 34,,0,Settled,01-07-2020 13:42,01-07-2020 13:42,Location 6
14,01-07-2020 13:52,15,Test Service - 31,,720,Settled,01-07-2020 13:52,01-07-2020 13:52,Location 9
15,01-07-2020 14:07,16,Test Service - 34,,1200,Settled,01-07-2020 14:07,01-07-2020 14:07,Location 6
16,01-07-2020 14:07,17,Test Service - 33,,1200,Settled,01-07-2020 14:07,01-07-2020 14:07,Location 11
17,01-07-2020 14:12,18,Test Service - 33,,1200,Settled,01-07-2020 14:12,01-07-2020 14:12,Location 11
18,01-07-2020 14:14,3,Test Service - 33,,1200,Settled,01-07-2020 14:14,01-07-2020 14:14,Location 11
19,01-07-2020 14:18,4,Test Service - 34,,0,Settled,01-07-2020 14:18,01-07-2020 14:18,Location 6
20,01-07-2020 15:02,5,Test Service - 31,,800,Settled,01-07-2020 15:02,01-07-2020 15:02,Location 8
21,01-07-2020 15:07,6,Test Service - 34,,1080,Settled,01-07-2020 15:07,01-07-2020 15:07,Location 6
22,01-07-2020 15:30,7,Test Service - 33,,1200,Settled,01-07-2020 15:30,01-07-2020 15:30,Location 11
23,01-07-2020 15:34,8,Test Service - 35,,900,Settled,01-07-2020 15:34,01-07-2020 15:34,Location 14
24,01-07-2020 15:53,9,Test Service - 33,,1200,Settled,01-07-2020 15:53,01-07-2020 15:53,Location 11
25,01-07-2020 16:20,10,Test Service - 31,,0,Settled,01-07-2020 16:20,01-07-2020 16:20,Location 5
26,01-07-2020 16:30,11,Test Service - 33,,1000,Settled,01-07-2020 16:30,01-07-2020 16:30,Location 16
27,01-07-2020 16:34,12,Test Service - 33,,1000,Settled,01-07-2020 16:34,01-07-2020 16:34,Location 16
28,01-07-2020 16:42,13,Test Service - 33,,1000,Settled,01-07-2020 16:42,01-07-2020 16:42,Location 15
29,01-07-2020 17:21,14,Test Service - 31,,720,Settled,01-07-2020 17:21,01-07-2020 17:21,Location 1
30,01-07-2020 17:25,15,Test Service - 31,,800,Settled,01-07-2020 17:25,01-07-2020 17:25,Location 1
31,01-07-2020 17:25,16,Test Service - 33,,1200,Settled,01-07-2020 17:25,01-07-2020 17:25,Location 11
32,01-07-2020 18:09,17,Test Service - 31,,600,Settled,01-07-2020 18:09,01-07-2020 18:09,Location 1
33,01-07-2020 18:13,18,Test Service - 33,,0,Settled,01-07-2020 18:13,01-07-2020 18:13,Location 15
34,01-07-2020 18:35,19,Test Service - 33,,1200,Settled,01-07-2020 18:35,01-07-2020 18:35,Location 11
35,01-07-2020 19:04,20,Test Service - 33,,1200,Settled,01-07-2020 19:04,01-07-2020 19:04,Location 11
36,01-07-2020 19:15,21,Test Service - 31,,800,Settled,01-07-2020 19:15,01-07-2020 19:15,Location 1
37,01-07-2020 19:21,22,Test Service - 37,,1350,Settled,01-07-2020 19:21,01-07-2020 19:21,Location 7
38,01-07-2020 19:24,23,Test Service - 31,,800,Settled,01-07-2020 19:24,01-07-2020 19:24,Location 5
